 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  24. 9.    Time:   0:47:25
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  195    185.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  196    186.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  197    187.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  198    188.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  199    189.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  200    190.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  201    191.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  202    192.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  203    193.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  204    194.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  205    195.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  206    196.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  207    197.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  208    198.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  209    199.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
  210    200.00     0.098     0.459      -2.0   0.148E+02     1.000     0.000     1.000     1.000     1.000
end
